wlan.sa wlan.ra wlan.ta wlan.da frame.time
 "5c:e0:c5:2a:e2:b1"   "Oct 23, 2019 19:29:09.607135703 -05"
"cc:d4:a1:37:6f:98" "ff:ff:ff:ff:ff:ff" "cc:d4:a1:37:6f:98" "ff:ff:ff:ff:ff:ff" "Oct 23, 2019 19:29:09.642678130 -05"
 "5c:e0:c5:2a:e2:b1"   "Oct 23, 2019 19:29:09.707932092 -05"
 "90:3a:72:85:72:88" "8c:a9:82:7a:53:0c"  "Oct 23, 2019 19:29:09.727333384 -05"
 "8c:a9:82:7a:53:0c"   "Oct 23, 2019 19:29:09.727773117 -05"
"8c:a9:82:7a:53:0c" "90:3a:72:85:72:88" "8c:a9:82:7a:53:0c" "90:3a:72:85:72:88" "Oct 23, 2019 19:29:09.727786696 -05"
 "8c:a9:82:7a:53:0c"   "Oct 23, 2019 19:29:09.728173100 -05"
 "90:3a:72:85:72:88"   "Oct 23, 2019 19:29:09.728394933 -05"
 "90:3a:72:85:72:88"   "Oct 23, 2019 19:29:09.728401906 -05"
"cc:d4:a1:37:6f:98" "ff:ff:ff:ff:ff:ff" "cc:d4:a1:37:6f:98" "ff:ff:ff:ff:ff:ff" "Oct 23, 2019 19:29:09.743872246 -05"
 "90:3a:72:85:72:88" "8c:a9:82:7a:53:0c"  "Oct 23, 2019 19:29:09.779710699 -05"
 "8c:a9:82:7a:53:0c"   "Oct 23, 2019 19:29:09.780052709 -05"
 "8c:a9:82:7a:53:0c"   "Oct 23, 2019 19:29:09.780548685 -05"
"cc:d4:a1:37:6f:98" "ff:ff:ff:ff:ff:ff" "cc:d4:a1:37:6f:98" "ff:ff:ff:ff:ff:ff" "Oct 23, 2019 19:29:09.845673285 -05"
"fa:34:58:e6:30:f1" "ff:ff:ff:ff:ff:ff" "fa:34:58:e6:30:f1" "ff:ff:ff:ff:ff:ff" "Oct 23, 2019 19:29:09.848743327 -05"
"cc:d4:a1:37:6f:98" "ff:ff:ff:ff:ff:ff" "cc:d4:a1:37:6f:98" "ff:ff:ff:ff:ff:ff" "Oct 23, 2019 19:29:09.953112450 -05"
"cc:d4:a1:37:6f:98" "ff:ff:ff:ff:ff:ff" "cc:d4:a1:37:6f:98" "ff:ff:ff:ff:ff:ff" "Oct 23, 2019 19:29:10.154409241 -05"
"cc:d4:a1:37:6f:98" "90:63:3b:73:54:fa" "cc:d4:a1:37:6f:98" "90:63:3b:73:54:fa" "Oct 23, 2019 19:29:10.285566082 -05"
"f4:7d:ef:ea:5c:f6" "ff:ff:ff:ff:ff:ff" "f4:7d:ef:ea:5c:f6" "ff:ff:ff:ff:ff:ff" "Oct 23, 2019 19:29:10.407491993 -05"
 "b4:d5:bd:b5:d2:90"   "Oct 23, 2019 19:29:10.412093918 -05"
 "5c:e0:c5:2a:e2:b1"   "Oct 23, 2019 19:29:10.487385918 -05"
 "b4:d5:bd:b5:d2:90"   "Oct 23, 2019 19:29:10.512412020 -05"
 "90:3a:72:85:72:88" "8c:a9:82:7a:53:0c"  "Oct 23, 2019 19:29:10.546756284 -05"
 "8c:a9:82:7a:53:0c"   "Oct 23, 2019 19:29:10.547277817 -05"
"8c:a9:82:7a:53:0c" "90:3a:72:85:72:88" "8c:a9:82:7a:53:0c" "90:3a:72:85:72:88" "Oct 23, 2019 19:29:10.547287178 -05"
 "8c:a9:82:7a:53:0c"   "Oct 23, 2019 19:29:10.547603628 -05"
 "90:3a:72:85:72:88"   "Oct 23, 2019 19:29:10.557604384 -05"
 "5c:e0:c5:2a:e2:b1"   "Oct 23, 2019 19:29:10.587630062 -05"
"90:3a:72:05:72:49" "ff:ff:ff:ff:ff:ff" "90:3a:72:05:72:49" "ff:ff:ff:ff:ff:ff" "Oct 23, 2019 19:29:10.624608105 -05"
"90:3a:72:05:72:49" "ff:ff:ff:ff:ff:ff" "90:3a:72:05:72:49" "ff:ff:ff:ff:ff:ff" "Oct 23, 2019 19:29:10.629753269 -05"
"90:3a:72:05:72:49" "ff:ff:ff:ff:ff:ff" "90:3a:72:05:72:49" "ff:ff:ff:ff:ff:ff" "Oct 23, 2019 19:29:10.634999066 -05"
"90:3a:72:05:72:49" "ff:ff:ff:ff:ff:ff" "90:3a:72:05:72:49" "ff:ff:ff:ff:ff:ff" "Oct 23, 2019 19:29:10.640425070 -05"
"f8:e9:4e:25:8e:7f" "ff:ff:ff:ff:ff:ff" "f8:e9:4e:25:8e:7f" "ff:ff:ff:ff:ff:ff" "Oct 23, 2019 19:29:10.647874765 -05"
"90:3a:72:05:72:49" "ff:ff:ff:ff:ff:ff" "90:3a:72:05:72:49" "ff:ff:ff:ff:ff:ff" "Oct 23, 2019 19:29:10.650510736 -05"
"90:3a:72:05:72:49" "ff:ff:ff:ff:ff:ff" "90:3a:72:05:72:49" "ff:ff:ff:ff:ff:ff" "Oct 23, 2019 19:29:10.661543965 -05"
"90:3a:72:05:72:49" "ff:ff:ff:ff:ff:ff" "90:3a:72:05:72:49" "ff:ff:ff:ff:ff:ff" "Oct 23, 2019 19:29:10.662652530 -05"
