MAC;FABRICANTE
E0:19:1D;Huawei
E0:24:7F;Huawei
E0:28:61;Huawei
E0:36:76;Huawei
E0:97:96;Huawei
E0:A3:AC;Huawei
E4:35:C8;Huawei
E4:68:A3;Huawei
E4:7E:66;Huawei
E4:A8:B6;Huawei
E4:C2:D1;Huawei
E8:08:8B;Huawei
E8:4D:D0;Huawei
E8:BD:D1;Huawei
E8:CD:2D;Huawei
EC:23:3D;Huawei
EC:38:8F;Huawei
EC:4D:47;Huawei
EC:CB:30;Huawei
F0:2F:A7;Huawei
F0:43:47;Huawei
F0:98:38;Huawei
F0:C8:50;Huawei
F4:4C:7F;Huawei
F4:55:9C;Huawei
F4:8E:92;Huawei
F4:9F:F3;Huawei
F4:C7:14;Huawei
F4:CB:52;Huawei
F4:DC:F9;Huawei
F4:E3:FB;Huawei
F8:01:13;Huawei
F8:23:B2;Huawei
F8:3D:FF;Huawei
F8:4A:BF;Huawei
F8:75:88;Huawei
F8:98:B9;Huawei
F8:BF:09;Huawei
F8:E8:11;Huawei
FC:3F:7C;Huawei
FC:48:EF;Huawei
FC:E3:3C;Huawei
0C:70:4A;Huawei
00:05:C9;LG
00:19:A1;LG
00:1C:62;LG
00:1E:B2;LG
00:1F:6B;LG
00:1F:E3;LG
00:21:FB;LG
00:22:A9;LG
00:34:DA;LG
00:50:CE;LG
00:AA:70;LG
01:E+:75;LG
0C:48:85;LG
10:68:3F;LG
10:F9:6F;LG
14:C9:13;LG
1C:08:C1;LG
20:21:A5;LG
2C:54:CF;LG
2C:59:8A;LG
30:76:6F;LG
30:A9:DE;LG
34:4D:F7;LG
34:FC:EF;LG
38:8C:50;LG
3C:BD:D8;LG
3C:CD:93;LG
3C:E6:24;LG
40:B0:FA;LG
58:3F:54;LG
58:A2:B5;LG
5C:70:A3;LG
5C:AF:06;LG
60:E3:AC;LG
64:89:9A;LG
64:BC:0C;LG
6C:D0:32;LG
6C:D6:8A;LG
74:A7:22;LG
78:F8:82;LG
80:5A:04;LG
88:07:4B;LG
88:C9:D0;LG
8C:3A:E3;LG
98:93:CC;LG
98:D6:F7;LG
A0:39:F7;LG
A0:6F:AA;LG
A0:91:69;LG
A8:16:B2;LG
A8:92:2C;LG
A8:B8:6E;LG
AC:0D:1B;LG
B0:98:9F;LG
B4:0E:DC;LG
B8:1D:AA;LG
BC:F5:AC;LG
C0:41:F6;LG
C4:36:6C;LG
C4:43:8F;LG
C4:9A:02;LG
C8:02:10;LG
C8:08:E9;LG
CC:2D:8C;LG
CC:FA:00;LG
D0:13:FD;LG
D8:4F:B8;LG
DC:0B:34;LG
E8:5B:5B;LG
E8:92:A4;LG
E8:F2:E2;LG
F0:18:2B;LG
F0:1C:13;LG
F8:0C:F3;LG
F8:95:C7;LG
F8:A9:D0;LG
08:D4:6A;LG
00:0A:28;Motorola
00:0E:C7;Motorola
00:A0:BF;Motorola
00:E0:0C;Motorola
08:00:3E;Motorola
14:1A:A3;Motorola
14:30:C6;Motorola
1C:56:FE;Motorola
24:DA:9B;Motorola
34:BB:26;Motorola
40:78:6A;Motorola
44:80:EB;Motorola
48:2C:EA;Motorola
48:88:CA;Motorola
4C:CC:34;Motorola
5C:51:88;Motorola
60:BE:B5;Motorola
64:DB:43;Motorola
68:C4:4D;Motorola
7C:46:85;Motorola
80:58:F8;Motorola
80:6C:1B;Motorola
84:10:0D;Motorola
88:79:7E;Motorola
90:68:C3;Motorola
98:0C:A5;Motorola
9C:D9:17;Motorola
A4:70:D6;Motorola
B0:79:94;Motorola
CC:61:E5;Motorola
CC:C3:EA;Motorola
D0:F8:8C;Motorola
E0:75:7D;Motorola
E0:98:61;Motorola
E4:90:7E;Motorola
E8:91:20;Motorola
EC:88:92;Motorola
F0:D7:AA;Motorola
F4:F1:E1;Motorola
F4:F5:24;Motorola
F8:CF:C5;Motorola
F8:E0:79;Motorola
F8:F1:B6;Motorola
00:02:EE;Nokia
00:0B:E1;Nokia
00:0E:ED;Nokia
00:0F:BB;Nokia
00:10:B3;Nokia
00:11:9F;Nokia
00:13:FD;Nokia
00:14:A7;Nokia
00:15:2A;Nokia
00:15:A0;Nokia
00:15:DE;Nokia
00:16:4E;Nokia
00:16:BC;Nokia
00:17:4B;Nokia
00:17:B0;Nokia
00:18:0F;Nokia
00:18:8D;Nokia
00:18:C5;Nokia
00:19:2D;Nokia
00:19:4F;Nokia
00:19:B7;Nokia
00:1A:16;Nokia
00:1A:89;Nokia
00:1A:DC;Nokia
00:1B:33;Nokia
00:1B:AF;Nokia
00:1B:EE;Nokia
00:1C:35;Nokia
00:1C:9A;Nokia
00:1C:D4;Nokia
00:1C:D6;Nokia
00:1D:3B;Nokia
00:1D:6E;Nokia
00:1D:98;Nokia
00:1D:E9;Nokia
00:1D:FD;Nokia
00:1E:3A;Nokia
00:1E:3B;Nokia
00:1E:A3;Nokia
00:1E:A4;Nokia
00:1F:00;Nokia
00:1F:01;Nokia
00:1F:5C;Nokia
00:1F:5D;Nokia
00:1F:DE;Nokia
00:1F:DF;Nokia
00:21:AA;Nokia
00:21:AB;Nokia
00:21:FC;Nokia
00:21:FE;Nokia
00:22:FC;Nokia
00:22:FD;Nokia
00:23:B4;Nokia
00:24:7C;Nokia
00:24:7D;Nokia
00:25:CF;Nokia
00:25:D0;Nokia
00:26:CC;Nokia
00:BD:3A;Nokia
00:D0:F6;Nokia
04:5A:95;Nokia
04:A8:2A;Nokia
0C:54:B9;Nokia
0C:C6:6A;Nokia
0C:DD:EF;Nokia
10:E8:78;Nokia
10:F9:EE;Nokia
14:C1:26;Nokia
18:86:AC;Nokia
1C:EA:1B;Nokia
20:D6:07;Nokia
28:47:AA;Nokia
28:D1:AF;Nokia
2C:5A:05;Nokia
2C:CC:15;Nokia
2C:D2:E7;Nokia
34:AA:99;Nokia
34:C8:03;Nokia
38:19:2F;Nokia
38:52:1A;Nokia
3C:18:9F;Nokia
3C:25:D7;Nokia
3C:36:3D;Nokia
3C:C2:43;Nokia
3C:F7:2A;Nokia
40:7A:80;Nokia
40:7C:7D;Nokia
48:DC:FB;Nokia
48:F7:F1;Nokia
48:F8:E1;Nokia
4C:25:78;Nokia
4C:7F:62;Nokia
4C:C9:4F;Nokia
50:2D:1D;Nokia
54:FA:96;Nokia
5C:57:C8;Nokia
60:A8:FE;Nokia
6C:9B:02;Nokia
6C:A7:80;Nokia
6C:E9:07;Nokia
70:8D:09;Nokia
78:2E:EF;Nokia
78:92:3E;Nokia
78:CA:04;Nokia
80:50:1B;Nokia
84:26:2B;Nokia
84:DB:FC;Nokia
88:44:F6;Nokia
8C:90:D3;Nokia
90:3A:A0;Nokia
90:CF:15;Nokia
94:3A:F0;Nokia
94:B8:19;Nokia
94:E9:8C;Nokia
98:B0:39;Nokia
9C:18:74;Nokia
9C:4A:7B;Nokia
9C:CA:D9;Nokia
A0:4E:04;Nokia
A0:71:A9;Nokia
A0:F4:19;Nokia
A4:77:60;Nokia
A4:7B:2C;Nokia
A4:81:EE;Nokia
A4:E7:31;Nokia
A8:44:81;Nokia
A8:7B:39;Nokia
A8:7E:33;Nokia
A8:E0:18;Nokia
AC:81:F3;Nokia
AC:93:2F;Nokia
B0:35:8D;Nokia
B0:5C:E5;Nokia
B0:75:4D;Nokia
BC:52:B4;Nokia
